starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:17:06,gemini,4,4G,,5,28900
2024-10-08 18:17:06,gemini,4,4G,,6,43540
2024-10-08 18:17:06,gemini,4,4G,,7,59919
2024-10-08 18:17:06,gemini,4,4G,,8,88577
2024-10-08 18:17:06,gemini,4,4G,,9,142611
2024-10-08 18:17:06,gemini,4,4G,,10,228062
2024-10-08 18:17:06,plonky2,4,4G,,2,33938
2024-10-08 18:17:06,plonky2,4,4G,,4,11885
2024-10-08 18:17:06,plonky2,4,4G,,7,6869
2024-10-08 18:17:06,plonky2,4,4G,,13,15120
2024-10-08 18:17:06,plonky2,4,4G,,26,12330
2024-10-08 18:17:06,plonky2,4,4G,,52,26772
2024-10-08 18:17:07,halo2,4,4G,,5,10084
2024-10-08 18:17:07,halo2,4,4G,,6,12238
2024-10-08 18:17:07,halo2,4,4G,,7,24348
2024-10-08 18:17:07,halo2,4,4G,,8,21804
2024-10-08 18:17:07,halo2,4,4G,,9,34646
2024-10-08 18:17:07,halo2,4,4G,,10,62458
2024-10-08 18:17:07,scribe,8,4G,,5,80534
2024-10-08 18:17:07,scribe,8,4G,,6,85069
2024-10-08 18:17:07,scribe,8,4G,,7,105694
2024-10-08 18:17:07,scribe,8,4G,,8,97963
2024-10-08 18:17:07,scribe,8,4G,,9,113832
2024-10-08 18:17:07,scribe,8,4G,,10,126182
2024-10-08 18:17:08,hp,8,4G,,5,18643
2024-10-08 18:17:08,hp,8,4G,,6,10315
2024-10-08 18:17:08,hp,8,4G,,7,13096
2024-10-08 18:17:08,hp,8,4G,,8,21172
2024-10-08 18:17:08,hp,8,4G,,9,39980
2024-10-08 18:17:08,hp,8,4G,,10,57410
2024-10-08 18:17:08,gemini,8,4G,,5,27367
2024-10-08 18:17:08,gemini,8,4G,,6,34493
2024-10-08 18:17:08,gemini,8,4G,,7,53337
2024-10-08 18:17:08,gemini,8,4G,,8,78495
2024-10-08 18:17:08,gemini,8,4G,,9,125110
2024-10-08 18:17:08,gemini,8,4G,,10,234341
2024-10-08 18:17:08,plonky2,8,4G,,2,41730
2024-10-08 18:17:08,plonky2,8,4G,,4,3975
2024-10-08 18:17:08,plonky2,8,4G,,7,27711
2024-10-08 18:17:08,plonky2,8,4G,,13,4579
2024-10-08 18:17:08,plonky2,8,4G,,26,15207
2024-10-08 18:17:08,plonky2,8,4G,,52,17952
2024-10-08 18:17:09,halo2,8,4G,,5,11334
2024-10-08 18:17:09,halo2,8,4G,,6,16263
2024-10-08 18:17:09,halo2,8,4G,,7,21003
2024-10-08 18:17:09,halo2,8,4G,,8,29965
2024-10-08 18:17:09,halo2,8,4G,,9,46017
2024-10-08 18:17:09,halo2,8,4G,,10,69481
2024-10-08 18:17:09,scribe,1,,200M,5,76499
2024-10-08 18:17:09,scribe,1,,200M,6,78859
2024-10-08 18:17:09,scribe,1,,200M,7,87402
2024-10-08 18:17:09,scribe,1,,200M,8,103161
2024-10-08 18:17:09,scribe,1,,200M,9,136542
2024-10-08 18:17:09,scribe,1,,200M,10,174660
2024-10-08 18:17:10,hp,1,,200M,5,17643
2024-10-08 18:17:10,hp,1,,200M,6,25275
2024-10-08 18:17:10,hp,1,,200M,7,33789
